package_name,on_cran,install,github_username,description
colorspace,TRUE,TRUE,,Explicit control over the HCL color scheme.
dplyr,TRUE,TRUE,hadley,Next generation of plyr.
ggplot2,TRUE,TRUE,,Graphing.
ggthemes,TRUE,TRUE,,"Extra themes, scales and geoms for ggplot."
ggmap,TRUE,TRUE,,"Maps & graphics, based on ggplot."
googleVis,TRUE,TRUE,,"JavaScript-based visualizations, like scrollable tables."
grid,TRUE,TRUE,,foundation underneath ggplot2.
gridBase,TRUE,TRUE,,Additional functions for manipulating `grid` objects.
gridExtra,TRUE,TRUE,,Additional functions for manipulating `grid` objects.
knitr,TRUE,TRUE,,For reporting.
lme4,TRUE,FALSE,,Multilevel models.
lubridate,TRUE,TRUE,,Consistent/convenient function signatures for manipulating dates.
minqa,TRUE,TRUE,,
nlme,TRUE,FALSE,,Nonlinear multilevel models.
plyr,TRUE,TRUE,,Important for most of our data manipulation.
RColorBrewer,TRUE,TRUE,,Explicit control over the Color Brewer colors.  See http://colorbrewer2.org/.
RCurl,TRUE,FALSE,,Interact with the web APIs.
readr,TRUE,TRUE,,Reads data files from disk.
REDCapR,FALSE,TRUE,OuhscBbmc,Reading data from a REDCap database
reshape2,TRUE,TRUE,,Data manipulation not covered in plyr.
rmarkdown,TRUE,TRUE,rstudio,Needed for knitr and reports.
stringi,TRUE,TRUE,,Consistent/convenient function signatures for manipulating text.
stringr,TRUE,TRUE,,Consistent/convenient function signatures for manipulating text.
testit,TRUE,TRUE,,Has the useful `assert()` function.
testthat,TRUE,TRUE,hadley,Heavier testing framework that's good for package development.
tidyr,TRUE,TRUE,hadley,An evolution of reshape2. Works with dplyr.
xtable,TRUE,FALSE,,"Formats tables, especially for LaTeX output."
yaml,TRUE,TRUE,,Needed for knitr and reports.
kableExtra,TRUE,TRUE,,
tidyverse,TRUE,TRUE,,Rstudio Universe
